2299136.0  [ 0.0214 -0.008   0.0075 -0.0005  0.0005  0.0005]
864665.3  [ 0.0136 -0.0035  0.0096  0.0111  0.0134  0.0048]
332641.2  [ 0.0112 -0.0019  0.0185  0.0137  0.0195  0.0061]
175846.0  [0.007  0.0019 0.0279 0.0164 0.025  0.0068]
139706.5  [0.0016 0.0019 0.0199 0.0183 0.0287 0.0035]
138691.5  [0.0038 0.0006 0.0235 0.0166 0.0272 0.005 ]
135499.7  [0.0038 0.0006 0.0235 0.0166 0.0272 0.005 ]
135499.7  [0.0038 0.0006 0.0235 0.0166 0.0272 0.005 ]
135499.7  [0.0038 0.0006 0.0235 0.0166 0.0272 0.005 ]
444267.1  [0.0038 0.0006 0.0235 0.0166 0.0272 0.005 ]
444267.1  [0.0038 0.0006 0.0235 0.0166 0.0272 0.005 ]
444267.1  [0.0038 0.0006 0.0235 0.0166 0.0272 0.005 ]
2038222.6  [ 0.0016 -0.0016  0.0283  0.0157  0.0291  0.0036]
1775035.6  [ 0.0033 -0.0021  0.0288  0.0153  0.0277  0.0039]
1705377.3  [ 0.0033 -0.0021  0.0288  0.0153  0.0277  0.0039]
1705377.3  [ 0.0033 -0.0021  0.0288  0.0153  0.0277  0.0039]
1705377.3  [ 0.0033 -0.0021  0.0288  0.0153  0.0277  0.0039]
5931257.3  [ 0.0033 -0.0021  0.0288  0.0153  0.0277  0.0039]
5931257.3  [ 0.0033 -0.0021  0.0288  0.0153  0.0277  0.0039]
5931257.3  [ 0.0033 -0.0021  0.0288  0.0153  0.0277  0.0039]
